,realization_spec_file_name,original_spec_file_name,FeH,err_FeH,logg,alpha,Teff,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo
77,spec-0328-52282-0376g004.dat_000,spec-0328-52282-0376g004.dat,,,,,,4.487029,2.6041689999999997,3.270057,1.580108,5.429744,1.905489,5.5326900000000006,3.822536,4.827419,1.668211
78,spec-0331-52368-0060g001.dat_000,spec-0331-52368-0060g001.dat,,,,,,4.4066339999999995,1.7107569999999999,4.145905,1.1814639999999998,5.516731,2.055124,7.9354559999999985,2.5889580000000003,5.986932,2.234659
79,spec-0331-52368-0251g001.dat_000,spec-0331-52368-0251g001.dat,,,,,,3.571814,1.251562,4.5262410000000015,1.665647,5.645794,2.149779,7.191526,2.562201,5.142859,1.338678
80,spec-0331-52368-0501g002.dat_000,spec-0331-52368-0501g002.dat,,,,,,4.8456269999999995,2.039704,6.907044,2.15353,5.417185,1.958625,13.663925,4.724648,4.302291,2.234586
81,spec-0331-52368-0531g002.dat_000,spec-0331-52368-0531g002.dat,,,,,,7.713152,2.632716,6.32377,11.426292,7.023428,3.619046,9.322352,2.4225830000000004,2.54304,1.113262
82,spec-0331-52368-0545g001.dat_000,spec-0331-52368-0545g001.dat,,,,,,4.731504,2.013572,4.28429,1.353864,4.271421,1.193707,6.239584,1.920379,5.0188120000000005,1.1737440000000001
83,,,,,,,,,,,,,,,,,
84,spec-0333-52313-0067g001.dat_000,spec-0333-52313-0067g001.dat,,,,,,5.268631,1.5490030000000001,6.806974,1.7797990000000001,6.037999,1.7999939999999999,7.534839999999999,1.71518,1.8313709999999999,0.299073
85,spec-0333-52313-0322g002.dat_000,spec-0333-52313-0322g002.dat,,,,,,10.971936999999999,3.540192,7.695614999999999,3.530999,10.496145,2.957116,12.318403,3.877447,2.833514,2.387691
86,spec-0333-52313-0478g001.dat_000,spec-0333-52313-0478g001.dat,,,,,,9.303407,2.794091,8.348741,2.718635,8.317226,2.0862979999999998,10.155378,3.3369150000000003,2.900387,0.748744
87,spec-0334-51993-0003g001.dat_000,spec-0334-51993-0003g001.dat,,,,,,9.371623,3.4471239999999996,9.257128999999999,2.8901,7.734363,2.4394709999999997,9.535525,3.24423,3.414746,1.6382370000000002
88,spec-0334-51993-0091g001.dat_000,spec-0334-51993-0091g001.dat,,,,,,13.62645,5.0899790000000005,13.6399,4.677901,12.647942,3.3220730000000005,13.899092000000001,4.409326999999998,4.8248940000000005,3.6332269999999998
89,spec-0334-51993-0109g001.dat_000,spec-0334-51993-0109g001.dat,,,,,,10.548228,2.718379,11.591372999999999,2.463215,10.876233000000001,2.456972,12.026268,2.170803,1.176621,0.618657
90,,,,,,,,,,,,,,,,,
91,spec-0334-51993-0333g001.dat_000,spec-0334-51993-0333g001.dat,,,,,,4.410093,1.6905709999999998,6.9706550000000025,2.0912599999999997,4.758856,1.865284,7.2379229999999986,2.836144,4.2384830000000004,1.388426
92,spec-0334-51993-0433g001.dat_000,spec-0334-51993-0433g001.dat,,,,,,6.0336989999999995,1.9832319999999999,0.1775,1.725691,4.680374,1.5755190000000001,6.432988,1.387269,5.484364,1.486595
93,spec-0335-52000-0124g001.dat_000,spec-0335-52000-0124g001.dat,,,,,,3.796121,1.095204,3.9585559999999997,1.695919,4.728191000000002,1.723782,6.737106,2.1745200000000002,5.462095,1.709788
94,,,,,,,,,,,,,,,,,
95,spec-0336-51999-0228g001.dat_000,spec-0336-51999-0228g001.dat,,,,,,3.499053,1.4800870000000002,4.745033,1.4314440000000002,4.191618,1.0929799999999998,6.452808999999999,4.248683,3.572492,0.6263449999999999
96,spec-0336-51999-0241g001.dat_000,spec-0336-51999-0241g001.dat,,,,,,4.149854,1.4570610000000002,4.57017,1.393788,4.082225,1.38583,6.957306,2.380946,5.521281,1.6896950000000002
97,spec-0337-51997-0580g001.dat_000,spec-0337-51997-0580g001.dat,,,,,,5.838611,1.796257,4.470171,1.253575,5.344311,1.5483129999999998,7.1346690000000015,2.1393169999999997,0.196484,1907.3998199999999
98,spec-0337-51997-0587g001.dat_000,spec-0337-51997-0587g001.dat,,,,,,9.0508,2.064717,10.17803,2.330044,9.377723,2.050146,10.322563,2.230022,2.2083720000000002,0.44892200000000004
99,spec-0339-51692-0307g001.dat_000,spec-0339-51692-0307g001.dat,,,,,,8.124951,2.066207,10.188244000000001,2.671436,9.767612,2.090354,8.479741,1.6869169999999998,3.286023,0.71721
100,spec-0340-51990-0129g001.dat_000,spec-0340-51990-0129g001.dat,,,,,,4.88507,1.810423,5.5161489999999995,1.9683099999999998,6.2289449999999995,1.705725,8.191562,2.808952,4.888904,1.521385
101,spec-0340-51990-0367g001.dat_000,spec-0340-51990-0367g001.dat,,,,,,9.341303,2.077286,8.787576,2.450796,6.7285,1.408076,9.069577,3.339894,2.73909,1.395507
102,spec-0340-51990-0367g002.dat_000,spec-0340-51990-0367g002.dat,,,,,,9.627344,2.44882,11.079435,2.793286,9.914396,2.769123,10.468442999999999,3.232871,2.803436,1.509723
103,spec-0341-51690-0180g001.dat_000,spec-0341-51690-0180g001.dat,,,,,,6.500671,2.127167,8.108891999999999,2.604926,4.706272,2.666451,8.982626,2.64522,4.604458,1.141034
104,spec-0341-51690-0180g002.dat_000,spec-0341-51690-0180g002.dat,,,,,,5.703602,1.7594029999999998,5.5320230000000015,1.472872,5.946573,1.90188,8.254218,3.636681,4.250776999999999,1.1795309999999999
105,spec-0341-51690-0248g003.dat_000,spec-0341-51690-0248g003.dat,,,,,,4.879716,1.8207200000000001,6.207796,3.4933589999999994,5.749845,1.399435,8.809994,3.95592,4.810524,1.292073
106,spec-0341-51690-0353g001.dat_000,spec-0341-51690-0353g001.dat,,,,,,4.212681,1.6701709999999999,4.800527,1.6759560000000002,4.487289,1.628127,6.611932,1.8832,4.5543569999999995,0.8610260000000001
107,spec-0341-51690-0640g001.dat_000,spec-0341-51690-0640g001.dat,,,,,,4.443328,1.225076,4.2585489999999995,1.730171,4.455618,1.394628,5.6966529999999995,1.773304,3.8374010000000003,0.688833
108,spec-0342-51691-0172g002.dat_000,spec-0342-51691-0172g002.dat,,,,,,8.299217,1.9418990000000005,9.396905,1.8909919999999998,9.371354,1.6947290000000002,9.095848,2.354057,1.782564,0.645111
