BJD,Magnitude,Uncertainty
2453564.719317875,9.922,
2453564.724727566,9.985,
2453564.730127257,9.996,
2453564.735496949,9.99,
2453828.706360811,11.093,0.037000000000000005
2453828.707360871,11.056,0.037000000000000005
2453828.708460936,11.092,0.037000000000000005
2453828.709561002,11.089,0.037000000000000005
2453828.7106610667,11.100999999999999,0.037000000000000005
2453828.711661127,11.118,0.037000000000000005
2453828.712761193,11.08,0.037000000000000005
2453828.7138612582,11.097000000000001,0.037000000000000005
2453828.715961383,11.083,0.037000000000000005
2453828.717061448,11.085,0.037000000000000005
2453828.718061508,11.064,0.037000000000000005
2453828.7191615733,11.08,0.037000000000000005
2453828.7212616983,11.062999999999999,0.037000000000000005
2453828.722361764,11.074000000000002,0.037000000000000005
2453828.72346183,11.058,0.037000000000000005
2453828.724561895,11.071,0.037000000000000005
2453828.725561954,11.065999999999999,0.037000000000000005
2453828.72666202,11.059000000000001,0.037000000000000005
2453828.727762085,11.056,0.037000000000000005
2453828.728762145,11.062999999999999,0.037000000000000005
2453828.72986221,11.065999999999999,0.037000000000000005
2453828.730962276,11.088,0.037000000000000005
2453828.7320623407,11.073,0.037000000000000005
2453828.7330624,11.071,0.037000000000000005
2453828.734162466,11.061,0.037000000000000005
2453828.735262531,11.075999999999999,0.037000000000000005
2453828.736262591,11.114,0.037000000000000005
2453828.7373626567,11.078,0.037000000000000005
2453828.738462722,11.095999999999998,0.037000000000000005
2453828.739562788,11.1,0.037000000000000005
2453828.740562846,11.116,0.037000000000000005
2453828.741662912,11.114,0.037000000000000005
2453828.742762977,11.117,0.037000000000000005
2453828.743763037,11.12,0.037000000000000005
2453828.7448631017,11.093,0.037000000000000005
2453828.7459631683,11.110999999999999,0.037000000000000005
2453828.7469632267,11.112,0.037000000000000005
2453828.7480632933,11.118,0.037000000000000005
2453828.749163358,11.142999999999999,0.037000000000000005
2453828.750163417,11.148,0.037000000000000005
2453828.751263482,11.148,0.037000000000000005
2453828.752363548,11.165999999999999,0.037000000000000005
2453828.7534636133,11.151,0.037000000000000005
2453828.754463673,11.148,0.037000000000000005
2453828.7555637383,11.177999999999999,0.037000000000000005
2453828.756663803,11.16,0.037000000000000005
2453828.7576638632,11.162,0.037000000000000005
2453828.758763928,11.15,0.037000000000000005
2453828.759863994,11.19,0.037000000000000005
2453828.7609640593,11.172,0.037000000000000005
2453828.7651643082,11.208,0.037000000000000005
2454249.56942031,9.971,0.003
2454249.570520304,9.962,0.003
2454249.571820298,9.954,0.004
2454249.5728202933,9.937999999999999,0.004
2454249.5738202883,9.952,0.004
2454249.5748202833,9.943,0.004
2454249.575720279,9.92,0.004
2454249.576720274,9.92,0.004
2454249.577720269,9.937999999999999,0.004
2454249.578720264,9.93,0.004
2454249.579720259,9.925,0.004
2454249.580620254,9.933,0.004
