     HJD      MAG_3  MAG_0  MAG_1  MAG_2  MAG_4    MER_3 MER_0 MER_1 MER_2 MER_4 GRADE FRAME
   3367.66503  9.392  9.466  9.389  9.391  9.394    0.043 0.087 0.046 0.038 0.043  B 125267
   3383.57043  9.828  9.848  9.831  9.838  9.843    0.049 0.064 0.050 0.044 0.047  B 125733
   3395.55606  8.955  8.954  8.958  8.950  8.963    0.045 0.082 0.047 0.039 0.044  B 127236
   3398.53694  9.793  9.791  9.796  9.800  9.792    0.043 0.079 0.046 0.039 0.043  B 127599
   3401.54057  9.388  9.305  9.401  9.393  9.403    0.045 0.063 0.044 0.038 0.047  B 128030
   3404.56130  9.913  9.986  9.927  9.922  9.916    0.044 0.084 0.050 0.040 0.040  B 128379
   3409.54806  9.788  9.776  9.781  9.785  9.799    0.040 0.072 0.042 0.036 0.038  B 129156
   3412.53651 10.102 10.425 10.249 10.157 10.094    0.039 0.050 0.040 0.032 0.035  A 129591
   3418.52087  9.484  9.379  9.473  9.488  9.481    0.053 0.098 0.056 0.047 0.052  B 130535
   3425.52078  8.992  8.964  8.985  8.995  8.996    0.045 0.084 0.047 0.039 0.045  B 131633
   3427.52188  9.167  9.151  9.161  9.170  9.172    0.044 0.082 0.048 0.040 0.043  B 131968
   3431.50887  9.424  9.500  9.444  9.427  9.424    0.047 0.075 0.053 0.042 0.047  B 132313
   3434.50407  9.899  9.935  9.916  9.911  9.898    0.042 0.055 0.042 0.036 0.042  A 132790
   3439.49711  9.784  9.807  9.784  9.788  9.791    0.047 0.084 0.052 0.043 0.044  B 133280
   3564.93489  9.247  9.253  9.258  9.252  9.252    0.037 0.041 0.039 0.032 0.033  A 150350
   3575.91155  9.090  9.096  9.067  9.088  9.099    0.035 0.036 0.037 0.031 0.032  A 151567
   3585.89783  9.553  9.569  9.563  9.560  9.554    0.037 0.049 0.037 0.033 0.034  A 153269
   3589.88397  9.718  9.703  9.714  9.719  9.727    0.036 0.037 0.035 0.031 0.035  A 153927
   3596.90733  9.568  9.596  9.569  9.581  9.576    0.039 0.038 0.038 0.033 0.038  A 155050
   3600.90473  9.609  9.627  9.621  9.617  9.608    0.038 0.036 0.035 0.032 0.036  A 155478
   3603.87193  9.756  9.738  9.733  9.748  9.754    0.038 0.038 0.037 0.032 0.037  A 155961
   3617.86678  9.660  9.689  9.672  9.668  9.661    0.042 0.051 0.042 0.035 0.040  A 157212
   3620.86752  8.973  9.005  8.967  8.968  8.977    0.049 0.071 0.054 0.045 0.046  B 157662
   3628.80685  9.382  9.387  9.369  9.381  9.388    0.034 0.036 0.038 0.030 0.032  A 158506
   3630.86951  9.653  9.638  9.642  9.657  9.655    0.037 0.044 0.040 0.032 0.034  A 158866
   3636.82862  9.803  9.815  9.800  9.802  9.808    0.036 0.037 0.038 0.031 0.034  A 159647
   3639.78180  9.073  9.040  9.086  9.077  9.075    0.034 0.042 0.037 0.029 0.030  A 159985
   3642.77649  9.828  9.804  9.844  9.841  9.831    0.039 0.041 0.043 0.033 0.037  A 160364
   3646.78626  9.886  9.858  9.907  9.893  9.895    0.037 0.038 0.038 0.031 0.032  A 160808
   3651.78456  9.774  9.736  9.775  9.782  9.780    0.036 0.041 0.037 0.031 0.033  A 161497
   3654.73039  8.970  8.978  8.977  8.980  8.980    0.037 0.042 0.035 0.031 0.034  A 161911
   3656.75201  9.252  9.236  9.224  9.240  9.253    0.042 0.057 0.045 0.037 0.041  A 162215
   3658.73733  9.335  9.382  9.334  9.336  9.343    0.037 0.042 0.037 0.032 0.033  A 162506
   3663.75708  9.916  9.973  9.932  9.922  9.922    0.041 0.044 0.039 0.035 0.041  A 163251
   3666.71162  9.692  9.660  9.683  9.693  9.697    0.040 0.061 0.045 0.036 0.040  A 163678
   3669.77238  9.221  9.237  9.218  9.225  9.228    0.034 0.035 0.038 0.029 0.030  A 164019
   3672.68861  9.819  9.891  9.825  9.818  9.821    0.036 0.044 0.038 0.031 0.033  A 164415
   3674.78274  9.857  9.798  9.855  9.869  9.863    0.043 0.084 0.049 0.041 0.042  B 164734
   3677.67819  9.509  9.539  9.515  9.516  9.510    0.037 0.046 0.036 0.031 0.033  A 165127
   3700.78894  9.802  9.758  9.780  9.796  9.796    0.041 0.053 0.043 0.035 0.039  A 168091
   3703.65527  9.295  9.267  9.280  9.292  9.305    0.042 0.064 0.048 0.038 0.040  A 168433
   3706.59682  9.792  9.830  9.798  9.796  9.792    0.047 0.087 0.052 0.043 0.046  B 168826
   3708.70495  9.855  9.897  9.878  9.865  9.859    0.040 0.081 0.046 0.036 0.039  B 169144
   3712.65945  9.023  9.003  9.013  9.030  9.035    0.035 0.053 0.036 0.029 0.033  A 169411
   3718.60793  9.213  9.188  9.213  9.220  9.216    0.042 0.060 0.040 0.035 0.040  A 170189
   3720.69626  9.579  9.578  9.577  9.575  9.585    0.043 0.062 0.043 0.037 0.041  A 170456
   3726.60070 99.999  9.668  9.675 99.999 99.999    0.043 0.066 0.044 0.037 0.041  C 171123
   3728.65270  9.783  9.721  9.780  9.789  9.793    0.044 0.088 0.054 0.043 0.045  B 171416
   3732.61702  9.781  9.731  9.801  9.794  9.780    0.049 0.081 0.051 0.044 0.047  B 171814
   3735.61958  9.435  9.474  9.435  9.439  9.438    0.042 0.072 0.046 0.038 0.041  B 172205
   3738.58785  9.835  9.777  9.823  9.841  9.845    0.043 0.091 0.048 0.039 0.040  B 172611
   3740.63854  9.325  9.330  9.307  9.323  9.325    0.039 0.073 0.044 0.036 0.038  B 172906
   3746.57084  9.620  9.712  9.642  9.633  9.627    0.047 0.089 0.049 0.042 0.048  B 173658
   3748.65216  9.449  9.437  9.478  9.470  9.441    0.048 0.072 0.049 0.042 0.048  B 173960
   3751.62907  9.862  9.810  9.852  9.869  9.859    0.049 0.087 0.051 0.044 0.048  B 174374
   3754.60168  9.678  9.741  9.670  9.673  9.682    0.046 0.078 0.048 0.041 0.047  B 174775
   3757.58026  9.144  9.035  9.122  9.131  9.150    0.046 0.086 0.052 0.041 0.045  B 175182
   3760.57429  9.806  9.765  9.770  9.797  9.813    0.047 0.089 0.053 0.044 0.046  B 175604
   3763.56945  9.352  9.490  9.368  9.358  9.355    0.050 0.099 0.053 0.045 0.050  B 175992
   3766.55442  9.755  9.768  9.758  9.762  9.759    0.049 0.062 0.050 0.044 0.048  B 176411
   3773.53127  9.743  9.853  9.777  9.753  9.744    0.047 0.073 0.045 0.039 0.048  B 177322
   3776.53623  9.107  9.043  9.072  9.102  9.110    0.052 0.081 0.056 0.046 0.049  B 177761
   3779.53225  9.831  9.813  9.822  9.843  9.844    0.050 0.091 0.051 0.045 0.052  B 178217
   3783.53440  9.908  9.908  9.897  9.903  9.904    0.049 0.054 0.046 0.042 0.051  B 178636
   3789.51949  8.931  8.872  8.939  8.947  8.937    0.045 0.088 0.048 0.040 0.045  B 179073
   3792.52254  9.815  9.737  9.803  9.819  9.819    0.045 0.082 0.047 0.040 0.045  B 179514
   3795.51454  9.399  9.361  9.383  9.406  9.405    0.041 0.064 0.042 0.034 0.039  A 179937
   3801.50307  9.713  9.698  9.701  9.714  9.719    0.045 0.049 0.043 0.039 0.046  B 180769
   3983.83580  9.700  9.740  9.707  9.714  9.707    0.042 0.045 0.042 0.036 0.041  A 203676
   4091.59544  9.792  9.689  9.770  9.786  9.788    0.048 0.096 0.053 0.044 0.048  B 209367
   4104.60664  9.910  9.881  9.889  9.896  9.909    0.041 0.051 0.037 0.034 0.038  A 210687
   4106.65904  9.041  9.085  9.023  9.039  9.045    0.034 0.042 0.037 0.029 0.031  A 210966
   4111.58150  9.806  9.751  9.792  9.812  9.804    0.045 0.099 0.052 0.042 0.042  B 211364
   4128.53463  9.831  9.894  9.829  9.832  9.834    0.044 0.086 0.047 0.038 0.040  B 211895
   4130.58083  9.849  9.902  9.811  9.826  9.842    0.046 0.086 0.051 0.041 0.043  B 212171
