JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2453806.63319,11.528,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63432,11.500,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63544,11.520,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63660,11.529,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63766,11.537,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63878,11.515,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.63991,11.537,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64103,11.537,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64221,11.544,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64334,11.530,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64447,11.539,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64558,11.541,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64671,11.529,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
2453806.64784,11.552,,,N/A,KGE,G,,,,,,,Z,,,,TV LYN,,STD,,,,
